user_id,book_id,rating
233,236,3
654,719,2
434,445,3
434,441,3
434,546,3
915,235,3
302,231,4
425,828,4
496,298,3
935,1251,5
496,556,4
822,585,3
434,355,4
373,472,1
255,149,5
866,644,5
302,393,2
233,892,4
757,286,4
233,227,4
6,600,3
654,775,3
290,122,5
415,568,3
434,27,3
932,3,3
262,1314,5
845,181,4
654,96,3
293,280,3
404,792,1
867,401,2
446,981,3
91,620,3
654,1152,3
9,97,4
415,365,5
425,523,4
536,1088,3
513,340,1
307,766,3
915,51,5
262,314,5
48,431,5
902,152,4
386,319,3
415,810,4
6,332,5
715,518,3
931,821,2
177,826,3
262,481,4
895,207,3
391,479,5
654,759,2
220,172,4
262,585,3
757,175,5
748,429,5
307,200,4
6,130,5
12,653,5
200,434,3
9,130,5
290,89,5
302,472,4
58,719,4
270,619,3
425,508,4
372,172,4
233,299,3
94,175,3
503,578,4
213,928,2
12,0,3
302,470,4
866,55,5
89,675,3
57,281,1
446,1009,3
773,6,2
233,94,3
915,508,5
101,659,3
275,1056,1
932,643,3
48,311,3
310,27,5
822,134,5
101,565,2
929,106,3
797,206,3
58,95,5
295,433,5
428,95,4
803,231,4
61,1065,1
404,877,1
17,506,4
535,263,5
233,496,4
449,14,3
901,0,5
61,248,5
278,187,5
6,170,4
803,804,4
591,284,5
9,471,4
847,511,5
262,85,4
386,722,1
353,147,5
362,76,2
206,391,4
867,216,3
449,276,5
392,1021,4
891,213,4
295,1219,4
252,154,3
446,296,4
216,808,3
255,320,4
931,210,4
929,151,2
748,173,3
94,943,2
757,568,4
929,13,4
475,341,4
275,182,4
101,181,4
681,1051,2
188,194,5
797,281,5
89,940,4
290,453,3
404,574,3
298,919,2
434,563,4
233,428,4
48,297,2
893,512,4
893,219,4
895,215,2
6,580,2
6,540,3
499,421,3
891,101,3
867,421,2
591,221,5
850,127,4
803,683,5
832,610,5
513,57,4
43,153,3
216,810,2
494,177,5
213,133,3
532,86,4
378,1163,2
200,693,1
373,151,5
505,57,4
294,220,4
12,474,4
550,991,4
689,69,2
845,7,4
43,493,4
628,57,4
325,172,4
496,714,5
101,675,2
278,202,3
937,845,2
302,1144,3
326,342,4
803,699,3
456,683,4
397,48,3
91,775,5
550,676,1
534,127,5
832,633,3
333,1241,4
523,149,1
895,710,1
845,563,5
773,582,1
405,792,4
404,439,1
93,408,4
654,214,4
312,94,3
797,80,3
902,10,2
486,924,5
757,573,4
384,207,4
806,140,3
449,663,3
373,177,1
9,131,5
867,217,2
653,726,5
932,78,3
94,800,3
626,123,2
302,613,3
183,705,4
711,376,4
183,1091,5
902,1086,3
298,283,5
806,729,4
499,1109,5
486,274,3
307,213,3
193,214,3
405,370,4
847,41,2
6,181,4
553,543,3
26,368,4
253,49,5
915,579,4
869,1088,4
696,271,5
150,1010,2
57,192,3
497,22,4
233,1026,3
405,618,5
626,186,4
527,108,4
757,434,3
243,8,5
535,433,3
183,185,4
503,445,5
307,257,3
882,510,5
150,184,4
63,1094,1
711,1006,3
885,57,4
505,551,3
188,1241,3
605,30,4
313,159,5
343,300,5
408,337,2
163,899,4
730,125,4
477,132,2
748,198,4
424,292,2
748,221,4
290,1044,3
737,643,4
505,518,5
424,444,3
17,927,3
584,1325,4
494,508,4
803,123,4
5,316,4
879,142,5
801,328,2
937,403,3
243,1086,4
115,347,2
845,440,4
216,559,3
446,233,2
397,70,5
550,927,5
345,82,4
243,96,2
144,941,1
926,1219,4
405,809,3
449,302,4
61,511,3
292,127,3
405,1067,4
378,189,5
639,182,5
373,917,2
43,63,5
642,408,4
255,754,4
830,1077,3
144,244,4
289,202,4
292,902,2
333,88,4
233,599,3
290,402,4
378,269,3
869,91,4
931,611,4
59,181,5
253,77,3
623,543,3
592,161,4
845,424,1
302,1050,1
84,1032,4
58,1013,2
861,145,5
550,763,5
550,32,5
697,1073,2
124,298,5
41,87,5
398,411,2
388,414,4
553,99,3
59,171,4
209,401,4
238,236,5
654,324,2
436,504,5
58,21,4
918,740,3
763,524,4
4,419,1
621,97,5
342,463,4
471,269,5
292,750,2
89,649,5
649,709,3
4,438,1
353,509,3
424,308,3
408,431,4
915,224,3
649,207,3
654,471,3
726,280,4
267,263,3
607,652,5
404,633,1
255,782,5
454,267,4
455,220,2
863,21,5
296,579,4
289,722,4
285,100,5
337,210,4
289,263,4
644,178,4
428,202,4
879,553,3
697,633,2
243,563,4
173,27,5
748,123,5
199,1012,3
43,326,4
58,1077,4
453,647,3
803,252,4
233,213,3
586,669,2
89,125,4
129,228,3
373,1102,1
720,194,5
197,979,2
313,664,5
536,1063,4
292,400,2
586,887,3
12,742,1
58,17,4
307,936,4
454,745,3
452,588,3
109,382,2
0,50,4
626,383,2
86,55,4
620,311,5
293,99,4
12,821,1
847,440,5
21,640,4
449,550,2
76,154,4
505,729,4
607,91,3
536,309,3
405,1203,3
553,430,4
659,182,3
523,430,1
197,141,3
560,705,3
295,226,4
327,157,3
404,315,4
4,403,3
797,421,3
298,528,3
266,480,5
456,171,5
312,88,5
220,270,5
390,58,5
797,895,4
373,975,5
93,419,4
333,434,3
150,192,4
681,86,5
386,101,3
832,638,5
929,825,3
55,156,3
565,776,3
605,196,4
765,481,4
20,52,4
693,486,4
344,172,4
243,524,5
931,864,1
455,419,3
64,400,4
313,1050,1
386,498,4
285,1016,4
233,1272,4
494,1199,4
270,119,2
523,638,5
312,583,2
311,1116,4
503,1000,1
644,927,4
296,141,5
853,484,4
711,37,4
129,248,3
917,648,4
804,195,5
626,175,5
235,625,3
591,199,5
803,655,5
220,405,2
621,732,3
48,897,2
253,403,3
446,202,4
388,556,3
520,246,3
278,1032,3
270,563,4
81,117,3
404,215,1
746,839,5
143,515,3
21,152,4
325,643,4
503,37,4
847,525,3
12,793,1
552,185,5
471,286,5
693,608,4
757,543,3
850,1222,1
200,221,4
424,565,3
923,203,4
307,194,3
536,268,3
151,998,4
298,210,4
895,397,1
390,640,5
660,739,2
532,13,3
895,383,4
748,402,5
93,975,4
434,1286,2
86,295,3
163,840,5
115,747,1
59,498,3
505,818,4
307,120,4
871,235,4
317,778,2
57,683,2
144,447,3
313,391,4
325,478,1
333,21,4
270,175,3
384,318,3
293,289,2
94,90,5
576,138,4
58,524,5
310,725,4
94,214,5
536,848,3
378,46,5
42,13,2
629,0,4
895,1181,4
726,356,2
289,808,3
296,477,4
535,1026,5
654,408,2
12,638,4
109,683,4
124,475,4
94,1010,3
6,439,2
200,21,2
536,698,4
697,432,4
454,253,2
520,244,4
572,214,4
544,572,3
388,3,4
441,292,2
12,329,3
68,233,3
313,1093,5
290,1039,4
304,182,3
697,256,3
392,316,3
129,927,4
61,211,4
553,228,5
268,81,2
180,1267,1
654,524,3
513,640,3
503,501,4
55,27,5
235,110,4
550,90,1
942,446,1
57,189,5
233,178,3
312,485,5
456,365,4
915,578,4
243,153,3
292,52,3
327,516,5
888,843,3
285,388,1
503,793,4
223,320,2
918,579,5
344,236,5
681,244,5
471,171,5
566,266,4
715,603,3
473,194,5
404,540,1
180,249,1
670,646,3
12,679,1
453,1081,2
453,517,4
317,156,5
496,67,4
748,465,3
765,434,4
344,954,2
486,37,2
245,82,4
81,469,3
180,111,1
188,195,5
388,134,4
652,991,2
127,843,3
206,178,3
377,525,5
915,11,4
915,1140,4
446,30,4
689,24,3
12,183,3
91,1140,4
285,84,5
929,23,1
245,95,3
328,184,3
386,177,5
415,737,5
652,208,4
550,186,5
94,230,4
384,316,2
456,579,5
392,891,4
513,1002,5
252,292,4
313,320,4
373,1011,3
319,53,4
853,732,2
544,79,3
869,192,3
159,116,4
278,69,1
915,1032,4
61,1090,3
842,462,2
693,625,4
93,469,3
415,236,4
2,316,4
324,98,5
129,3,2
42,640,5
372,78,4
467,41,4
333,310,2
245,1136,3
870,188,2
895,0,4
887,272,4
304,164,4
48,421,2
12,755,4
505,452,3
150,208,4
397,586,3
263,445,2
513,134,4
853,11,5
294,85,5
652,1094,1
789,41,5
6,382,3
282,585,4
94,180,2
108,54,2
896,643,3
290,238,4
25,256,3
697,502,2
196,551,4
494,393,1
327,130,5
296,113,5
449,46,3
803,760,3
188,23,4
295,240,4
159,283,4
654,1016,1
200,924,3
740,288,3
626,76,2
486,172,5
327,745,3
346,459,2
127,172,3
405,355,4
196,675,4
888,214,4
388,649,5
475,292,3
882,88,5
24,495,4
715,179,4
592,729,5
189,99,4
12,831,1
585,116,4
396,208,4
310,490,4
720,951,3
200,215,3
268,441,3
697,298,4
933,223,2
641,72,4
372,714,5
388,766,4
267,380,3
127,416,4
398,1051,2
157,795,3
235,272,1
535,142,4
888,1041,2
926,326,4
199,512,5
10,403,3
726,176,4
233,927,2
6,447,4
706,843,1
325,200,4
542,575,3
390,195,5
458,170,5
496,172,4
456,650,4
709,333,1
644,299,2
473,256,4
415,215,4
803,403,4
449,270,5
424,733,4
568,543,3
449,96,4
327,345,5
795,246,3
931,383,2
108,592,3
